championat,teamA,teamB,score,time
الدوري المصري,الاتحاد السكندري,حرس الحدود,1 - 0,17:00
الدوري المصري,غزل المحلة,طلائع الجيش,2 - 3,17:00
الدوري المصري,زد,الأهلي,0 - 1,20:00
الدوري الأوروبي,جليمت,كاراباج اجدام,1 - 2,19:45
الدوري الأوروبي,آ. فرانكفورت,سلافيا براج,1 - 0,19:45
الدوري الأوروبي,جالاتا سراي,توتنهام هوتسبر,3 - 2,19:45
الدوري الأوروبي,لودوجوريتس,أتلتيك بلباو,1 - 2,19:45
الدوري الأوروبي,نيس,تفينتي انشخيده,2 - 2,19:45
الدوري الأوروبي,أوليمبياكوس,جلاسكو رينجرز,1 - 1,19:45
الدوري الأوروبي,سان جيلواز,روما,1 - 1,19:45
الدوري الأوروبي,ستيوا بوخارست,ميتييلاند,2 - 0,19:45
الدوري الأوروبي,الفسبورج,سبورتينج براجا,1 - 1,19:45
الدوري الأوروبي,فيكتوريا بلزن,ريال سوسيداد,2 - 1,22:00
الدوري الأوروبي,نادي آر إف إس,أندرلخت,1 - 1,22:00
الدوري الأوروبي,مانشستر يونايتد,باوك سالونيكا,2 - 0,22:00
الدوري الأوروبي,هوفنهايم,ليون,2 - 2,22:00
الدوري الأوروبي,لاتسيو,بورتو,2 - 1,22:00
الدوري الأوروبي,دينامو كييف,فيرينكفاروسي,0 - 4,22:00
الدوري الأوروبي,الكمار,فنربخشة,3 - 1,22:00
الدوري الأوروبي,أياكس امستردام,مكابى تل ابيب,5 - 0,22:00
دوري المؤتمر الأوروبي,فايكينجور ريكيافيك,نادي بوراك بانيا,2 - 0,16:30
دوري المؤتمر الأوروبي,بيتروكوب هينسشتي,رابيد فيينا,0 - 3,19:45
دوري المؤتمر الأوروبي,نادي بافوس,إف سي أستانا,1 - 0,19:45
دوري المؤتمر الأوروبي,ليجيا وارسو,دينامو مينسك,4 - 0,19:45
دوري المؤتمر الأوروبي,شامروك روفرز,نيو سانتس,2 - 1,19:45
دوري المؤتمر الأوروبي,جينت,أومونيا,1 - 0,19:45
دوري المؤتمر الأوروبي,باتشكا توبولا,لوجانو,4 - 1,19:45
دوري المؤتمر الأوروبي,هلسنكي,أولمبيا ليوبليانا,0 - 2,19:45
دوري المؤتمر الأوروبي,هارت أوف ميدلوثيان,هايدنهايم,0 - 2,22:00
دوري المؤتمر الأوروبي,لاسك لينز,سيركل بروج,0 - 0,22:00
دوري المؤتمر الأوروبي,أبويل نيقوسيا,فيورنتينا,2 - 1,22:00
دوري المؤتمر الأوروبي,تشيلسي,نادي نوح,8 - 0,22:00
دوري المؤتمر الأوروبي,جمعية يور جاردن,باناثينايكوس,2 - 1,22:00
دوري المؤتمر الأوروبي,كوبنهاجن,إسطنبول باشاكشهير,2 - 2,22:00
دوري المؤتمر الأوروبي,ريال بيتيس,نادي إن كيه تسيليى,2 - 1,22:00
دوري المؤتمر الأوروبي,فيتوريا جيماريش,نادي ملادا بوليسلاف,2 - 1,22:00
دوري المؤتمر الأوروبي,نادي لارني,سانت جالين,1 - 2,22:00
دوري المؤتمر الأوروبي,نادي ياجييلونيا بياويستوك,مولده,3 - 0,22:00
الدوري الإيطالي,جنوى,كومو,1 - 1,21:45
الدوري السعودي,القادسية,الفيحاء,2 - 0,16:30
الدوري السعودي,الخلود,الشباب,0 - 2,17:00
الدوري السعودي,العروبة,الاتحاد,0 - 2,19:00
